-21.467,-21.66,-24.276,-25.852,-26.596,-30.472,-29.141,-36.548,3.4937,0.048538,1.4322,0.056038,1.0336,1.4229,0.00060277
-19.403,-19.608,-23.091,-24.36,-25.605,-28.238,-28.874,-34.256,3.6677,0.06743,2.2327,0.030347,0.73131,1.4134,0.003482
-9.3417,-9.5215,-14.341,-15.81,-17.933,-21.377,-20.73,-27.267,3.2794,0.082926,2.3778,0.069711,1.9198,0.5154,0.0053328
-15.747,-15.9,-19.943,-20.938,-22.409,-24.662,-25.378,-30.484,3.6496,0.022134,2.7912,0.058986,2.1889,1.3078,0.0083797
-10.579,-10.764,-16.481,-17.972,-20.703,-24.174,-23.939,-30.615,3.449,0.071079,2.979,0.084047,2.183,0.95621,0.0032886
-13.155,-13.329,-18.132,-19.384,-21.305,-23.958,-24.771,-30.041,3.3027,0.076735,1.2345,0.086279,2.3419,1.3075,0.0075729
-17.887,-18.084,-21.882,-23.472,-24.811,-28.677,-27.205,-34.478,3.5682,0.06098,2.1256,0.026915,1.3261,0.54383,0.00048555
-18.222,-18.407,-21.667,-23.025,-23.909,-27.175,-26.083,-32.803,3.6242,0.045643,2.7183,0.049949,1.1124,1.07,0.0023489
-19.458,-19.602,-22.51,-23.423,-24.56,-26.624,-27.813,-32.354,3.4185,0.051234,1.2054,0.02477,2.1798,1.0164,0.0050952
-15.584,-15.729,-19.835,-20.718,-22.191,-24.158,-25.229,-29.824,3.5878,0.029601,0.88364,0.037653,2.4255,0.90069,0.0093177
-17.065,-17.207,-19.855,-20.796,-21.901,-24.064,-24.712,-29.611,3.3443,0.038405,1.9679,0.04204,1.5513,0.95664,0.0083168
-18.05,-18.211,-19.843,-21.136,-21.223,-24.511,-22.914,-29.735,3.5155,0.039065,1.6511,0.071087,0.77533,0.96661,0.0039962
-22.669,-22.852,-24.414,-25.974,-25.671,-29.707,-26.989,-34.831,3.5577,0.021343,1.8546,0.087322,0.61251,1.3992,0.00032431
-17.958,-18.172,-25.557,-27.348,-31.804,-36.134,-37.302,-44.965,3.5865,0.060776,2.8866,0.020976,2.7619,0.92337,5.3201e-05
-19.072,-19.196,-21.188,-21.943,-22.765,-24.687,-25.78,-30.382,3.633,0.043407,1.7599,0.024493,2.1289,1.2936,0.0095178
-19.073,-19.26,-24.823,-26.442,-28.875,-32.871,-32.773,-40.108,3.2947,0.051167,0.80254,0.051906,2.2688,1.4215,0.00026702
-12.783,-12.947,-15.581,-16.888,-17.548,-20.788,-19.396,-26.016,3.6994,0.059502,1.9891,0.05977,1.1691,0.52322,0.0083962
-18.234,-18.408,-20.168,-21.62,-21.718,-25.417,-23.604,-30.952,3.6927,0.065162,0.91359,0.078457,0.86219,1.1653,0.0022996
-19.862,-19.961,-21.317,-21.961,-22.672,-24.46,-25.557,-30.007,3.3997,0.027487,2.2176,0.033714,1.4288,1.4917,0.0099992
-9.1716,-9.354,-14.183,-15.743,-17.866,-21.715,-20.681,-27.887,3.2561,0.069165,1.5219,0.086294,1.9267,0.64743,0.0022874
-15.811,-15.954,-20.36,-21.118,-22.591,-24.151,-25.866,-29.489,3.3109,0.072117,0.6839,0.023167,2.9312,0.52586,0.0093353
-18.697,-18.873,-21.034,-22.481,-22.881,-26.422,-25.161,-31.932,3.3864,0.083201,0.87616,0.032011,1.1005,0.54513,0.0017858
